-0.27412,1.9674,-0.035685
-0.69395,0.17085,-0.015858
0.57784,0.23614,-0.044098
-0.30858,-0.041886,-0.06902
0.92442,1.3853,0.068798
-0.34884,1.8709,-0.035219
-0.30764,1.9859,0.076412
0.9233,1.0794,-0.019108
-0.94358,0.88508,-0.031818
0.17684,1.9742,-0.017804
-0.86301,0.43794,-0.008624
-0.72393,0.31495,0.016928
0.90163,0.60084,0.0070736
0.65497,0.19788,-0.0041752
0.85421,0.47731,-0.014866
0.13052,0.064456,-0.061894
1.0257,0.83388,-0.036244
-0.67444,0.30988,-0.024413
0.57467,0.10933,-0.029343
0.87508,0.59548,0.025688
-0.37544,0.038204,0.051798
0.30173,0.043228,0.0042185
0.68108,1.7481,-0.071241
-0.87356,1.4207,-0.034983
0.0028075,-0.019644,0.082903
0.13951,2.0007,-0.011744
-0.9478,1.2898,0.011752
-0.076815,-0.0086754,-0.054621
-0.98258,0.69843,0.026411
-0.40934,0.049707,-0.072685
0.67046,1.6879,0.053566
0.63799,0.16273,-0.039826
-0.65027,0.26687,0.0080433
-0.42526,2.0215,-0.025187
0.53887,1.8024,-0.12357
0.90352,0.56784,-0.063179
-0.01308,-0.0062463,0.015344
-0.084043,1.9962,-0.033255
-0.43185,1.8496,-0.050169
0.2872,0.056466,-0.11717
-0.94416,0.53372,0.071201
0.20304,2.0461,-0.033991
-0.22899,1.9935,0.0036271
0.68367,1.6936,-0.010892
0.50552,0.2185,0.034939
-0.51609,0.23845,-0.042342
0.61849,0.18949,-0.089413
0.76211,0.42908,0.026111
0.94771,0.48176,-0.031905
0.70852,1.6513,-0.079624
